Station,ID,Type,Type~Def,Easting,Northing,X,Y
BELFAST - ADELAIDE RAIL HALT,13,R,,332254,371972,-3.0165631,53.240433
BELFAST - CITY HOSPITAL RAIL HALT,18,R,,333163,373131,-3.0031886,53.250964
BELFAST - EUROPA/GVS,19,I,,333444,373777,-2.9991131,53.256806
BELFAST - BALMORAL RAIL HALT,14,R,,331456,370851,-3.0282767,53.230255
BELFAST - BOTANIC RAIL STATION,15,R,,333670,373093,-2.9955832,53.250687
BELFAST - CENTRAL RAIL STATION,17,R,,334663,373896,-2.9808681,53.258027
BELFAST - BRIDGE END RAIL HALT,16,R,,335340,374643,-2.9708735,53.264824
BELFAST - SYDENHAM RAIL HALT,20,R,,336625,375090,-2.9517003,53.268996
BELFAST - YORKGATE RAIL STATION,21,R,,334254,375736,-2.9873791,53.274513
BELFAST - LAGANSIDE BUS STATION,21,B,,334312,374485,-2.9862506,53.263277
DUNMURRY RAIL HALT,40,R,,329249,369061,-3.0609346,53.213878
DERRIAGHY RAIL HALT,36,R,,328318,367752,-3.074579,53.201989
FINAGHY RAIL HALT,42,R,,330275,370254,-3.0458346,53.224736
LAMBEG RAIL HALT,53,R,,327616,366385,-3.084776,53.189608
HILDEN RAIL HALT,47,R,,327651,365560,-3.0840652,53.182198
WHITEABBEY RAIL HALT,78,R,HALT,335239,382491,-2.9739915,53.335344
JORDANSTOWN RAIL STATION,49,R,,335802,384164,-2.965878,53.350449
GREENISLAND RAIL STATION,45,R,,337168,385650,-2.945656,53.363969
TROOPERSLANE RAIL HALT,77,R,,338702,386846,-2.9228399,53.374898
DOWNSHIRE RAIL HALT,38,R,,342459,388145,-2.8666125,53.386996
CARRICKFERGUS RAIL STATION,25,R,,341200,387704,-2.8854573,53.382894
CLIPPERSTOWN RAIL HALT,27,R,,340755,387682,-2.8921423,53.382646
WHITEHEAD RAIL HALT,79,R,,347510,391838,-2.7912932,53.420715
BALLYCARRY RAIL HALT,5,R,,346402,394455,-2.80841,53.444124
MAGHERAMORNE RAIL HALT,62,R,,343608,398706,-2.8512343,53.482038
GLYNN RAIL HALT,44,R,,340982,399919,-2.8910286,53.492651
LARNE RAIL STATION,56,R,,340460,402499,-2.8993863,53.515779
LARNE HARBOUR RAIL STATION,55,R,,341523,402231,-2.8833073,53.51349
